rank,clock,proc_type,message,sloiki,konfitury,has_jar,has_jam,jar_queue,jam_queue,recv_ack,needed_ack
5,0,Studentka,"Start procesu",3,0,0,0,"","",0,3
4,0,Studentka,"Start procesu",3,0,0,0,"","",0,3
3,0,Studentka,"Start procesu",3,0,0,0,"","",0,3
6,0,Studentka,"Start procesu",3,0,0,0,"","",0,3
2,0,Babcia,"Start procesu",3,0,0,0,"","",0,2
1,0,Babcia,"Start procesu",3,0,0,0,"","",0,2
0,0,Babcia,"Start procesu",3,0,0,0,"","",0,2
0,1,Babcia,"Wysyłam prośbę o słoik",3,0,0,0,"0:1","",0,2
0,2,Babcia,"Otrzymałam REQ od [2]",3,0,0,0,"0:1,2:1","",0,2
0,3,Babcia,"Otrzymałam REQ od [1]",3,0,0,0,"0:1,1:1,2:1","",0,2
0,4,Babcia,"Otrzymałam ACK od [2]",3,0,0,0,"0:1,1:1,2:1","",1,2
2,1,Babcia,"Wysyłam prośbę o słoik",3,0,0,0,"2:1","",0,2
2,2,Babcia,"Otrzymałam REQ od [0]",3,0,0,0,"0:1,2:1","",0,2
2,3,Babcia,"Otrzymałam ACK od [0]",3,0,0,0,"0:1,2:1","",1,2
2,4,Babcia,"Otrzymałam REQ od [1]",3,0,0,0,"0:1,1:1,2:1","",1,2
2,5,Babcia,"Otrzymałam ACK od [1]",3,0,0,0,"0:1,1:1,2:1","",2,2
1,1,Babcia,"Wysyłam prośbę o słoik",3,0,0,0,"1:1","",0,2
1,2,Babcia,"Otrzymałam REQ od [0]",3,0,0,0,"0:1,1:1","",0,2
1,3,Babcia,"Otrzymałam REQ od [2]",3,0,0,0,"0:1,1:1,2:1","",0,2
1,4,Babcia,"Otrzymałam ACK od [0]",3,0,0,0,"0:1,1:1,2:1","",1,2
1,5,Babcia,"Otrzymałam ACK od [2]",3,0,0,0,"0:1,1:1,2:1","",2,2
0,5,Babcia,"Otrzymałam ACK od [1]",3,0,0,0,"0:1,1:1,2:1","",2,2
0,5,Babcia,"Wchodzę do sekcji krytycznej",3,0,0,0,"0:1,1:1,2:1","",2,2
3,1,Studentka,"Wysyłam prośbę o konfiturę",3,0,0,0,"","3:1",0,3
3,2,Studentka,"Otrzymałam REQ od [4]",3,0,0,0,"","3:1,4:1",0,3
3,3,Studentka,"Otrzymałam REQ od [5]",3,0,0,0,"","3:1,4:1,5:1",0,3
4,1,Studentka,"Wysyłam prośbę o konfiturę",3,0,0,0,"","4:1",0,3
4,2,Studentka,"Otrzymałam REQ od [3]",3,0,0,0,"","3:1,4:1",0,3
4,3,Studentka,"Otrzymałam REQ od [5]",3,0,0,0,"","3:1,4:1,5:1",0,3
4,4,Studentka,"Otrzymałam ACK od [3]",3,0,0,0,"","3:1,4:1,5:1",1,3
4,5,Studentka,"Otrzymałam REQ od [6]",3,0,0,0,"","3:1,4:1,5:1,6:1",1,3
3,4,Studentka,"Otrzymałam REQ od [6]",3,0,0,0,"","3:1,4:1,5:1,6:1",0,3
3,5,Studentka,"Otrzymałam ACK od [4]",3,0,0,0,"","3:1,4:1,5:1,6:1",1,3
5,1,Studentka,"Wysyłam prośbę o konfiturę",3,0,0,0,"","5:1",0,3
6,1,Studentka,"Wysyłam prośbę o konfiturę",3,0,0,0,"","6:1",0,3
