[0][0][Babcia] Start procesu [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][0][Babcia] Start procesu [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][0][Babcia] Start procesu [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][0][Studentka] Start procesu [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[0][1][Babcia] Wysyłam prośbę o słoik [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][1][Babcia] Wysyłam prośbę o słoik [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][1][Babcia] Wysyłam prośbę o słoik [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][1][Studentka] Wysyłam prośbę o konfiturę [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[0][2][Babcia] Otrzymałam REQ od [2] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][2][Babcia] Otrzymałam REQ od [0] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][2][Babcia] Otrzymałam REQ od [0] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[0][3][Babcia] Otrzymałam ACK od [2] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 1/2]
[1][3][Babcia] Otrzymałam REQ od [2] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][3][Babcia] Otrzymałam ACK od [0] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 1/2]
[0][4][Babcia] Otrzymałam REQ od [1] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 1/2]
[2][4][Babcia] Otrzymałam REQ od [1] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 1/2]
[0][5][Babcia] Otrzymałam ACK od [1] [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 2/2]
[0][5][Babcia] Wchodzę do sekcji krytycznej [sloiki: 3, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 2/2]
